Year, Fresh Water Withdrawn (MCM),Fresh Water Used (MCM),Fresh Water Returned (MCM),Waste Disposed (1^3 Tonnes),Hazardous Waste (1^3 Tonnes),Waste recycled (1^3 Tonnes),Spills ,Spill volume (1^3 Tonnes)
2016,198,154,44,2148,658,653,69,0.8
2017,204,154,46,2020,638,533,102,0.4
2018,199,147,53,1999,592,419,93,0.9
2019,192,145,51,2128,708,441,69,0.22
2020,171,127,44,2022,537,443,71,0.4
2021,235,122,113,1928,820,356,42,0.06
2022,200,103,97,2012,828,493,55,0.06
2023,205,92,112,2251,631,654,70,0.37
2024,208,90,117,2662,851,729,69,1.23
2025,210,86,126,2390,606,403,34,0.16
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
